codepoint,edition,sequence,commons_title,page,side,rotation,crop_x0,crop_x1,x,y,w,h,render_width,frame_top,pitch,kind,score,juan,radical,similarity,status
3D142,ccz,C-00312,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,34,left,-1.104,0,957,698,515,73,104,1920,513,84.5,headword,0.993,卷一下,12,0.662,approved
3D143,ccz,C-00313,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,34,left,-1.104,0,957,610,514,74,121,1920,513,84.5,headword,0.995,卷一下,12,0.676,approved
3D145,ccz,C-00315,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,34,left,-1.104,0,957,530,1167,63,105,1920,513,84.5,inline,0.995,卷一下,12,0.97,approved
3D146,ccz,C-00316,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,34,left,-1.104,0,957,444,517,69,103,1920,513,84.5,headword,0.989,卷一下,12,0.549,approved
3D147,ccz,C-00317,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,34,left,-1.104,0,957,359,516,68,105,1920,513,84.5,headword,1.0,卷一下,12,0.911,approved
3D148,ccz,C-00318,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,34,left,-1.104,0,957,274,519,73,102,1920,513,84.5,headword,0.997,卷一下,12,0.662,approved
3D149,ccz,C-00319,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,34,left,-1.104,0,957,192,514,70,107,1920,513,84.5,headword,0.997,卷一下,12,0.61,approved
3D14B,ccz,C-00321,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,35,right,0.001,956,1920,714,523,51,91,1920,518,84.36,headword,0.156,卷一下,12,0.916,approved
3D14C,ccz,C-00322,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,35,right,0.001,956,1920,622,520,63,105,1920,518,84.36,headword,1.0,卷一下,12,0.959,approved
3D14D,ccz,C-00323,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,35,right,0.001,956,1920,540,522,55,104,1920,518,84.36,headword,0.999,卷一下,12,0.972,approved
3D14E,ccz,C-00324,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,35,right,0.001,956,1920,456,521,52,104,1920,518,84.36,headword,1.0,卷一下,12,0.984,approved
3D14F,ccz,C-00325,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,35,right,0.001,956,1920,372,521,61,104,1920,518,84.36,headword,0.997,卷一下,12,0.967,approved
3D150,ccz,C-00326,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,35,right,0.001,956,1920,282,524,62,105,1920,518,84.36,headword,1.0,卷一下,12,0.981,approved
3D151,ccz,C-00327,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,35,right,0.001,956,1920,196,518,68,106,1920,518,84.36,headword,1.0,卷一下,12,0.892,approved
3D152,ccz,C-00328,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,35,right,0.001,956,1920,114,520,60,105,1920,518,84.36,headword,1.0,卷一下,12,0.953,approved
3D155,ccz,C-00331,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,35,left,-0.622,0,956,770,509,69,108,1920,509,83.72,headword,1.0,卷一下,12,0.801,approved
3D156,ccz,C-00332,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,35,left,-0.622,0,956,694,514,54,102,1920,509,83.72,headword,1.0,卷一下,12,0.978,approved
3D157,ccz,C-00333,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,35,left,-0.622,0,956,610,515,59,102,1920,509,83.72,headword,1.0,卷一下,12,0.954,approved
3D158,ccz,C-00334,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,35,left,-0.622,0,956,605,1594,63,104,1920,509,83.72,inline,1.0,卷一下,12,0.904,approved
3D159,ccz,C-00335,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,35,left,-0.622,0,956,519,787,69,104,1920,509,83.72,inline,1.0,卷一下,12,0.911,approved
3D15A,ccz,C-00336,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,35,left,-0.622,0,956,444,515,59,102,1920,509,83.72,headword,1.0,卷一下,12,0.961,approved
3D15B,ccz,C-00337,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,35,left,-0.622,0,956,444,1216,53,105,1920,509,83.72,inline,1.0,卷一下,12,0.985,approved
3D15C,ccz,C-00338,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,35,left,-0.622,0,956,275,513,54,104,1920,509,83.72,headword,1.0,卷一下,12,0.967,approved
3D15D,ccz,C-00339,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,35,left,-0.622,0,956,193,519,62,103,1920,509,83.72,headword,0.283,卷一下,12,0.911,approved
3D15E,ccz,C-00340,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,35,left,-0.622,0,956,96,509,75,108,1920,509,83.72,headword,0.98,卷一下,12,0.826,approved
3D15F,ccz,C-00341,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,36,right,-0.198,952,1920,782,518,63,101,1920,511,84.49,headword,0.999,卷一下,12,0.92,approved
3D160,ccz,C-00342,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,36,right,-0.198,952,1920,703,516,55,107,1920,511,84.49,headword,1.0,卷一下,12,0.943,approved
3D161,ccz,C-00343,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,36,right,-0.198,952,1920,614,519,66,100,1920,511,84.49,headword,0.999,卷一下,12,0.844,approved
3D162,ccz,C-00344,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,36,right,-0.198,952,1920,526,515,64,111,1920,511,84.49,headword,0.997,卷一下,12,0.949,approved
3D163,ccz,C-00345,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,36,right,-0.198,952,1920,449,517,53,93,1920,511,84.49,headword,0.998,卷一下,12,0.982,approved
3D164,ccz,C-00346,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,36,right,-0.198,952,1920,366,516,53,103,1920,511,84.49,headword,1.0,卷一下,12,0.955,approved
3D165,ccz,C-00347,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,36,right,-0.198,952,1920,281,516,53,103,1920,511,84.49,headword,1.0,卷一下,12,0.958,approved
3D166,ccz,C-00348,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,36,right,-0.198,952,1920,191,516,67,108,1920,511,84.49,headword,0.999,卷一下,12,0.975,approved
3D167,ccz,C-00349,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,36,right,-0.198,952,1920,107,517,53,102,1920,511,84.49,headword,1.0,卷一下,12,0.928,approved
3D168,ccz,C-00350,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,36,right,-0.198,952,1920,16,518,70,101,1920,511,84.49,headword,1.0,卷一下,12,0.786,approved
3D16A,ccz,C-00351,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,36,left,0.051,0,952,861,506,68,108,1920,506,84.2,headword,0.999,卷一下,12,0.846,approved
3D16B,ccz,C-00352,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,36,left,0.051,0,952,780,511,57,101,1920,506,84.2,headword,0.995,卷一下,12,0.98,approved
3D16C,ccz,C-00353,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,36,left,0.051,0,952,690,506,75,111,1920,506,84.2,headword,0.967,卷一下,12,0.895,approved
3D16D,ccz,C-00354,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,36,left,0.051,0,952,609,510,56,105,1920,506,84.2,headword,0.997,卷一下,12,0.97,approved
3D16E,ccz,C-00355,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,36,left,0.051,0,952,522,514,53,88,1920,506,84.2,headword,0.997,卷一下,12,0.948,approved
3D16F,ccz,C-00356,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,36,left,0.051,0,952,438,513,71,105,1920,506,84.2,headword,0.988,卷一下,12,0.822,approved
3D170,ccz,C-00357,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,36,left,0.051,0,952,354,506,70,108,1920,506,84.2,manual,1.0,卷一下,12,0.704,approved
3D171,ccz,C-00358,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,36,left,0.051,0,952,266,506,74,113,1920,506,84.2,headword,0.966,卷一下,12,0.636,approved
3D172,ccz,C-00359,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,36,left,0.051,0,952,187,511,68,103,1920,506,84.2,headword,0.973,卷一下,12,0.835,approved
3D173,ccz,C-00360,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,36,left,0.051,0,952,97,512,59,102,1920,506,84.2,headword,1.0,卷一下,12,0.89,approved
3D174,ccz,C-00361,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,37,right,-0.119,953,1920,784,521,58,98,1920,510,83.21,headword,1.0,卷一下,12,0.847,approved
3D175,ccz,C-00362,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,37,right,-0.119,953,1920,704,521,52,91,1920,510,83.21,headword,0.999,卷一下,12,0.955,approved
3D176,ccz,C-00363,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,37,right,-0.119,953,1920,623,519,52,103,1920,510,83.21,headword,1.0,卷一下,12,0.971,approved
3D177,ccz,C-00364,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,37,right,-0.119,953,1920,536,518,53,102,1920,510,83.21,headword,0.999,卷一下,12,0.965,approved
3D178,ccz,C-00365,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,37,right,-0.119,953,1920,454,517,57,105,1920,510,83.21,headword,1.0,卷一下,12,0.957,approved
3D179,ccz,C-00366,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,37,right,-0.119,953,1920,368,516,58,106,1920,510,83.21,headword,1.0,卷一下,12,0.929,approved
3D17A,ccz,C-00367,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,37,right,-0.119,953,1920,281,516,60,106,1920,510,83.21,headword,1.0,卷一下,12,0.942,approved
3D17B,ccz,C-00368,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,37,right,-0.119,953,1920,199,517,58,106,1920,510,83.21,headword,1.0,卷一下,12,0.966,approved
3D17C,ccz,C-00369,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,37,right,-0.119,953,1920,113,516,65,103,1920,510,83.21,headword,1.0,卷一下,12,0.894,approved
3D17D,ccz,C-00370,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,37,right,-0.119,953,1920,32,517,51,108,1920,510,83.21,headword,0.998,卷一下,12,0.955,approved
3D17E,ccz,C-00371,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,37,left,-0.967,0,953,848,514,70,109,1920,511,83.28,headword,0.98,卷一下,12,0.882,approved
3D17F,ccz,C-00372,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,37,left,-0.967,0,953,765,514,72,101,1920,511,83.28,headword,0.98,卷一下,12,0.732,approved
3D180,ccz,C-00373,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,37,left,-0.967,0,953,681,517,69,102,1920,511,83.28,headword,0.999,卷一下,12,0.777,approved
3D181,ccz,C-00374,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,37,left,-0.967,0,953,596,513,71,111,1920,511,83.28,headword,0.961,卷一下,12,0.935,approved
3D183,ccz,C-00375,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,37,left,-0.967,0,953,511,509,71,125,1920,511,83.28,headword,0.999,卷一下,12,0.693,approved
3D184,ccz,C-00376,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,37,left,-0.967,0,953,429,516,68,92,1920,511,83.28,headword,0.997,卷一下,12,0.655,approved
3D185,ccz,C-00377,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,37,left,-0.967,0,953,344,516,71,105,1920,511,83.28,headword,1.0,卷一下,12,0.67,approved
3D186,ccz,C-00378,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,37,left,-0.967,0,953,261,515,67,97,1920,511,83.28,headword,0.998,卷一下,12,0.642,approved
3D187,ccz,C-00379,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,37,left,-0.967,0,953,179,510,66,116,1920,511,83.28,headword,0.947,卷一下,12,0.752,approved
3D188,ccz,C-00380,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,37,left,-0.967,0,953,94,517,71,100,1920,511,83.28,headword,1.0,卷一下,12,0.602,approved
3D189,ccz,C-00381,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,38,right,0.03,953,1920,788,520,58,104,1920,511,84.21,headword,0.997,卷一下,12,0.945,approved
3D18A,ccz,C-00382,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,38,right,0.03,953,1920,624,518,53,107,1920,511,84.21,headword,0.999,卷一下,12,0.963,approved
3D18B,ccz,C-00383,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,38,right,0.03,953,1920,538,519,59,100,1920,511,84.21,headword,1.0,卷一下,12,0.916,approved
3D18C,ccz,C-00384,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,38,right,0.03,953,1920,458,517,55,103,1920,511,84.21,headword,1.0,卷一下,12,0.954,approved
3D18D,ccz,C-00385,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,38,right,0.03,953,1920,369,517,60,106,1920,511,84.21,headword,1.0,卷一下,12,0.939,approved
3D18E,ccz,C-00386,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,38,right,0.03,953,1920,274,511,75,108,1920,511,84.21,headword,0.954,卷一下,12,0.934,approved
3D18F,ccz,C-00387,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,38,right,0.03,953,1920,195,516,67,103,1920,511,84.21,headword,1.0,卷一下,12,0.842,approved
3D190,ccz,C-00388,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,38,right,0.03,953,1920,119,519,57,101,1920,511,84.21,headword,0.978,卷一下,12,0.959,approved
3D191,ccz,C-00389,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,38,right,0.03,953,1920,21,514,70,105,1920,511,84.21,headword,0.995,卷一下,12,0.723,approved
3D192,ccz,C-00390,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,38,left,-0.916,0,953,872,520,54,88,1920,515,83.48,headword,1.0,卷一下,12,0.97,approved
3D193,ccz,C-00391,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,38,left,-0.916,0,953,786,517,55,102,1920,515,83.48,headword,1.0,卷一下,12,0.981,approved
3D194,ccz,C-00392,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,38,left,-0.916,0,953,701,522,61,104,1920,515,83.48,headword,0.998,卷一下,12,0.941,approved
3D195,ccz,C-00393,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,38,left,-0.916,0,953,618,519,54,108,1920,515,83.48,headword,0.999,卷一下,12,0.968,approved
3D196,ccz,C-00394,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,38,left,-0.916,0,953,534,521,56,99,1920,515,83.48,headword,1.0,卷一下,12,0.966,approved
3D197,ccz,C-00395,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,38,left,-0.916,0,953,368,519,51,106,1920,515,83.48,headword,0.999,卷一下,12,0.978,approved
3D199,ccz,C-00396,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,38,left,-0.916,0,953,357,1113,73,104,1920,515,83.48,inline,0.999,卷一下,12,0.96,approved
3D19A,ccz,C-00397,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,38,left,-0.916,0,953,280,522,56,103,1920,515,83.48,headword,1.0,卷一下,12,0.893,approved
3D19B,ccz,C-00398,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,38,left,-0.916,0,953,198,521,53,100,1920,515,83.48,headword,1.0,卷一下,12,0.97,approved
3D19C,ccz,C-00399,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,38,left,-0.916,0,953,119,525,53,97,1920,515,83.48,headword,0.999,卷一下,12,0.943,approved
3D19D,ccz,C-00400,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,39,right,-0.911,960,1920,797,536,55,105,1920,529,83.84,headword,0.996,卷一下,12,0.939,approved
3D19E,ccz,C-00401,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,39,right,-0.911,960,1920,715,538,58,97,1920,529,83.84,headword,0.999,卷一下,12,0.927,approved
3D19F,ccz,C-00402,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,39,right,-0.911,960,1920,627,535,57,101,1920,529,83.84,headword,1.0,卷一下,12,0.98,approved
3D1A0,ccz,C-00403,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,39,right,-0.911,960,1920,544,534,53,97,1920,529,83.84,headword,0.998,卷一下,12,0.976,approved
3D1A1,ccz,C-00404,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,39,right,-0.911,960,1920,461,535,59,102,1920,529,83.84,headword,1.0,卷一下,12,0.952,approved
3D1A2,ccz,C-00405,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,39,right,-0.911,960,1920,377,533,53,100,1920,529,83.84,headword,1.0,卷一下,12,0.968,approved
3D1A3,ccz,C-00406,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,39,right,-0.911,960,1920,295,533,49,109,1920,529,83.84,headword,0.989,卷一下,12,0.948,approved
3D1A4,ccz,C-00407,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,39,right,-0.911,960,1920,211,532,51,104,1920,529,83.84,headword,1.0,卷一下,12,0.947,approved
3D1A5,ccz,C-00408,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,39,right,-0.911,960,1920,122,533,53,105,1920,529,83.84,headword,1.0,卷一下,12,0.958,approved
3D1A6,ccz,C-00409,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,39,right,-0.911,960,1920,38,533,57,97,1920,529,83.84,headword,1.0,卷一下,12,0.912,approved
3D1A7,ccz,C-00410,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,39,left,-0.688,0,960,855,547,71,99,1920,541,84.24,headword,0.998,卷一下,12,0.589,approved
3D1A8,ccz,C-00411,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,39,left,-0.688,0,960,771,546,71,101,1920,541,84.24,headword,0.998,卷一下,12,0.876,approved
3D1A9,ccz,C-00412,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,39,left,-0.688,0,960,687,543,70,105,1920,541,84.24,headword,1.0,卷一下,12,0.846,approved
3D1AA,ccz,C-00413,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,39,left,-0.688,0,960,601,540,70,114,1920,541,84.24,headword,0.999,卷一下,12,0.871,approved
3D1AB,ccz,C-00414,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,39,left,-0.688,0,960,517,540,68,111,1920,541,84.24,headword,0.999,卷一下,12,0.713,approved
3D1AC,ccz,C-00415,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,39,left,-0.688,0,960,433,547,73,114,1920,541,84.24,inline,0.852,卷一下,12,0.807,approved
3D1AD,ccz,C-00416,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,39,left,-0.688,0,960,349,544,70,104,1920,541,84.24,headword,0.992,卷一下,12,0.887,approved
3D1AF,ccz,C-00418,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,39,left,-0.688,0,960,181,543,71,103,1920,541,84.24,headword,0.999,卷一下,12,0.71,approved
3D1B0,ccz,C-00419,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,39,left,-0.688,0,960,97,541,71,111,1920,541,84.24,headword,0.327,卷一下,12,0.803,approved
3D1B1,ccz,C-00420,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,40,right,-0.068,950,1920,787,545,65,109,1920,538,83.95,headword,0.999,卷一下,12,0.928,approved
3D1B2,ccz,C-00421,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,40,right,-0.068,950,1920,705,547,59,96,1920,538,83.95,headword,1.0,卷一下,12,0.813,approved
3D1B3,ccz,C-00422,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,40,right,-0.068,950,1920,624,545,62,101,1920,538,83.95,headword,1.0,卷一下,12,0.937,approved
3D1B4,ccz,C-00423,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,40,right,-0.068,950,1920,541,548,57,100,1920,538,83.95,headword,1.0,卷一下,12,0.977,approved
3D1B5,ccz,C-00424,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,40,right,-0.068,950,1920,451,546,62,106,1920,538,83.95,headword,1.0,卷一下,12,0.963,approved
3D1B6,ccz,C-00425,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,40,right,-0.068,950,1920,374,547,54,89,1920,538,83.95,headword,0.995,卷一下,12,0.975,approved
3D1B7,ccz,C-00426,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,40,right,-0.068,950,1920,292,546,51,105,1920,538,83.95,headword,0.999,卷一下,12,0.978,approved
3D1B8,ccz,C-00427,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,40,right,-0.068,950,1920,204,544,52,104,1920,538,83.95,headword,1.0,卷一下,12,0.963,approved
3D1B9,ccz,C-00428,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,40,right,-0.068,950,1920,119,544,63,101,1920,538,83.95,headword,0.999,卷一下,12,0.955,approved
3D1BA,ccz,C-00429,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,40,right,-0.068,950,1920,28,541,70,106,1920,538,83.95,headword,0.996,卷一下,12,0.915,approved
3D1BB,ccz,C-00430,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,40,right,-0.068,950,1920,36,1237,53,87,1920,538,83.95,inline,0.999,卷一下,12,0.913,approved
3D1BC,ccz,C-00431,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,40,left,-0.655,0,950,855,519,63,104,1920,512,84.54,headword,0.996,卷一下,12,0.975,approved
3D1BD,ccz,C-00432,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,40,left,-0.655,0,950,768,512,73,108,1920,512,84.54,headword,0.999,卷一下,12,0.931,approved
3D1BE,ccz,C-00433,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,40,left,-0.655,0,950,685,516,70,104,1920,512,84.54,headword,0.999,卷一下,12,0.783,approved
3D1BF,ccz,C-00434,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,40,left,-0.655,0,950,598,512,70,108,1920,512,84.54,headword,1.0,卷一下,12,0.829,approved
3D1C0,ccz,C-00435,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,40,left,-0.655,0,950,526,515,57,100,1920,512,84.54,headword,0.997,卷一下,12,0.982,approved
3D1C1,ccz,C-00436,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,40,left,-0.655,0,950,444,514,59,105,1920,512,84.54,headword,0.998,卷一下,12,0.985,approved
3D1C2,ccz,C-00437,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,40,left,-0.655,0,950,364,516,52,102,1920,512,84.54,headword,1.0,卷一下,12,0.97,approved
3D1C3,ccz,C-00438,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,40,left,-0.655,0,950,263,515,68,105,1920,512,84.54,headword,0.999,卷一下,12,0.873,approved
3D1C4,ccz,C-00439,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,40,left,-0.655,0,950,180,512,67,108,1920,512,84.54,headword,0.999,卷一下,12,0.74,approved
3D1C5,ccz,C-00440,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,40,left,-0.655,0,950,96,512,73,108,1920,512,84.54,headword,0.996,卷一下,12,0.762,approved
3D1C6,ccz,C-00441,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,41,right,-0.589,954,1920,791,522,61,104,1920,515,84.82,headword,1.0,卷一下,12,0.925,approved
3D1C7,ccz,C-00442,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,41,right,-0.589,954,1920,714,520,54,106,1920,515,84.82,headword,1.0,卷一下,12,0.984,approved
3D1C8,ccz,C-00443,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,41,right,-0.589,954,1920,627,519,55,108,1920,515,84.82,headword,1.0,卷一下,12,0.969,approved
3D1C9,ccz,C-00444,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,41,right,-0.589,954,1920,548,520,50,99,1920,515,84.82,headword,0.998,卷一下,12,0.96,approved
3D1CA,ccz,C-00445,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,41,right,-0.589,954,1920,463,519,55,108,1920,515,84.82,headword,0.998,卷一下,12,0.987,approved
3D1CB,ccz,C-00446,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,41,right,-0.589,954,1920,383,520,51,102,1920,515,84.82,headword,0.998,卷一下,12,0.966,approved
3D1CC,ccz,C-00447,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,41,right,-0.589,954,1920,283,517,74,109,1920,515,84.82,headword,0.995,卷一下,12,0.908,approved
3D1CD,ccz,C-00448,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,41,right,-0.589,954,1920,215,520,49,104,1920,515,84.82,headword,0.996,卷一下,12,0.978,approved
3D1CE,ccz,C-00449,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,41,right,-0.589,954,1920,205,1440,59,99,1920,515,84.82,inline,0.999,卷一下,12,0.905,approved
3D1CF,ccz,C-00450,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,41,right,-0.589,954,1920,28,519,67,94,1920,515,84.82,headword,0.994,卷一下,12,0.625,approved
3D1D0,ccz,C-00451,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,41,left,0.027,0,954,771,513,57,102,1920,510,84.16,headword,0.998,卷一下,12,0.963,approved
3D1D1,ccz,C-00452,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,41,left,0.027,0,954,692,514,57,104,1920,510,84.16,headword,0.987,卷一下,12,0.957,approved
3D1D2,ccz,C-00453,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,41,left,0.027,0,954,609,516,53,102,1920,510,84.16,headword,1.0,卷一下,12,0.966,approved
3D1D3,ccz,C-00454,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,41,left,0.027,0,954,524,513,51,89,1920,510,84.16,headword,0.996,卷一下,12,0.946,approved
3D1D4,ccz,C-00455,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,41,left,0.027,0,954,433,513,55,103,1920,510,84.16,headword,0.999,卷一下,12,0.96,approved
3D1D5,ccz,C-00456,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,41,left,0.027,0,954,350,513,62,103,1920,510,84.16,headword,0.999,卷一下,12,0.979,approved
