codepoint,edition,sequence,commons_title,page,side,rotation,crop_x0,crop_x1,x,y,w,h,render_width,frame_top,pitch,kind,score,juan,radical,similarity,status
3D02F,ccz,C-00044,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,17,left,-0.315,0,967,277,1166,71,98,1920,500,83.81,inline,0.923,卷一上,3,0.908,approved
3D030,ccz,C-00045,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,17,left,-0.315,0,967,191,503,69,106,1920,500,83.81,headword,0.997,卷一上,3,0.764,approved
3D031,ccz,C-00046,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,17,left,-0.315,0,967,119,728,61,103,1920,500,83.81,inline,0.986,卷一上,3,0.909,approved
3D032,ccz,C-00047,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,18,right,0.463,966,1920,795,494,71,119,1920,495,84.16,headword,1.0,卷一上,3,0.873,approved
3D033,ccz,C-00048,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,18,right,0.463,966,1920,711,500,64,104,1920,495,84.16,headword,0.999,卷一上,3,0.955,approved
3D034,ccz,C-00049,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,18,right,0.463,966,1920,627,502,67,99,1920,495,84.16,headword,1.0,卷一上,3,0.923,approved
3D035,ccz,C-00050,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,18,right,0.463,966,1920,544,509,68,91,1920,495,84.16,headword,1.0,卷一上,3,0.938,approved
3D036,ccz,C-00051,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,18,right,0.463,966,1920,460,496,73,108,1920,495,84.16,headword,0.999,卷一上,3,0.908,approved
3D037,ccz,C-00052,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,18,right,0.463,966,1920,375,670,72,100,1920,495,84.16,inline,0.992,卷一上,3,0.908,approved
3D038,ccz,C-00053,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,18,right,0.463,966,1920,292,500,72,98,1920,495,84.16,headword,1.0,卷一上,3,0.83,approved
3D039,ccz,C-00054,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,18,right,0.463,966,1920,205,508,67,98,1920,495,84.16,headword,0.999,卷一上,3,0.936,approved
3D03A,ccz,C-00055,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,18,right,0.463,966,1920,36,499,75,103,1920,495,84.16,headword,1.0,卷一上,3,0.848,approved
3D03B,ccz,C-00056,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,18,left,-0.476,0,966,870,511,69,95,1920,495,84.92,headword,0.999,卷一上,3,0.976,approved
3D03C,ccz,C-00057,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,18,left,-0.476,0,966,703,519,64,77,1920,495,84.92,headword,0.998,卷一上,3,0.791,approved
3D03D,ccz,C-00058,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,18,left,-0.476,0,966,615,508,68,97,1920,495,84.92,headword,1.0,卷一上,3,0.823,approved
3D03E,ccz,C-00059,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,18,left,-0.476,0,966,527,505,69,99,1920,495,84.92,headword,1.0,卷一上,3,0.954,approved
3D03F,ccz,C-00060,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,18,left,-0.476,0,966,357,506,73,104,1920,495,84.92,inline,0.942,卷一上,3,0.846,approved
3D040,ccz,C-00061,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,18,left,-0.476,0,966,272,499,74,107,1920,495,84.92,headword,0.998,卷一上,3,0.917,approved
3D041,ccz,C-00062,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,18,left,-0.476,0,966,113,504,64,98,1920,495,84.92,headword,0.996,卷一上,3,0.934,approved
3D042,ccz,C-00063,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,19,right,0.32,964,1920,707,514,71,84,1920,490,83.52,headword,0.986,卷一上,3,0.882,approved
3D043,ccz,C-00064,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,19,right,0.32,964,1920,625,496,68,100,1920,490,83.52,headword,1.0,卷一上,3,0.963,approved
3D044,ccz,C-00065,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,19,right,0.32,964,1920,541,504,64,94,1920,490,83.52,headword,1.0,卷一上,3,0.908,approved
3D045,ccz,C-00066,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,19,right,0.32,964,1920,456,493,67,107,1920,490,83.52,headword,1.0,卷一上,3,0.927,approved
3D046,ccz,C-00067,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,19,right,0.32,964,1920,462,1219,66,105,1920,490,83.52,inline,1.0,卷一上,3,0.897,approved
3D047,ccz,C-00068,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,19,right,0.32,964,1920,465,1488,60,103,1920,490,83.52,inline,0.999,卷一上,3,0.932,approved
3D048,ccz,C-00069,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,19,right,0.32,964,1920,296,496,56,106,1920,490,83.52,headword,0.999,卷一上,3,0.953,approved
3D049,ccz,C-00070,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,19,right,0.32,964,1920,37,497,63,105,1920,490,83.52,headword,0.998,卷一上,3,0.791,approved
3D04A,ccz,C-00071,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,19,left,-0.272,0,964,782,515,68,92,1920,507,83.46,inline,0.991,卷一上,3,0.953,approved
3D04B,ccz,C-00072,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,19,left,-0.272,0,964,699,515,66,101,1920,507,83.46,headword,0.999,卷一上,3,0.945,approved
3D04C,ccz,C-00073,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,19,left,-0.272,0,964,615,512,65,104,1920,507,83.46,headword,1.0,卷一上,3,0.948,approved
3D04D,ccz,C-00074,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,19,left,-0.272,0,964,529,518,64,95,1920,507,83.46,headword,0.998,卷一上,3,0.895,approved
3D04E,ccz,C-00075,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,19,left,-0.272,0,964,444,522,69,93,1920,507,83.46,headword,1.0,卷一上,3,0.841,approved
3D04F,ccz,C-00076,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,19,left,-0.272,0,964,359,517,69,99,1920,507,83.46,headword,1.0,卷一上,3,0.921,approved
3D050,ccz,C-00077,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,19,left,-0.272,0,964,279,520,68,96,1920,507,83.46,headword,0.999,卷一上,3,0.913,approved
3D051,ccz,C-00078,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,19,left,-0.272,0,964,111,514,67,101,1920,507,83.46,headword,1.0,卷一上,3,0.919,approved
3D052,ccz,C-00079,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,20,right,0.734,964,1920,788,520,75,91,1920,502,84.62,headword,0.993,卷一上,3,0.694,approved
3D053,ccz,C-00080,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,20,right,0.734,964,1920,618,511,66,101,1920,502,84.62,headword,1.0,卷一上,3,0.891,approved
3D056,ccz,C-00082,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,20,right,0.734,964,1920,452,514,66,97,1920,502,84.62,headword,1.0,卷一上,3,0.968,approved
3D058,ccz,C-00084,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,20,right,0.734,964,1920,199,526,68,85,1920,502,84.62,headword,0.989,卷一上,3,0.817,approved
3D059,ccz,C-00085,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,20,right,0.734,964,1920,114,517,70,94,1920,502,84.62,headword,1.0,卷一上,3,0.882,approved
3D05A,ccz,C-00086,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,20,right,0.734,964,1920,23,520,76,101,1920,502,84.62,headword,0.998,卷一上,3,0.67,approved
3D05B,ccz,C-00087,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,20,left,-0.913,0,964,856,511,68,104,1920,506,83.56,headword,0.994,卷一上,3,0.848,approved
3D05C,ccz,C-00088,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,20,left,-0.913,0,964,859,1107,65,100,1920,506,83.56,inline,0.999,卷一上,3,0.913,approved
3D05D,ccz,C-00089,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,20,left,-0.913,0,964,773,510,71,103,1920,506,83.56,headword,0.998,卷一上,3,0.823,approved
3D05E,ccz,C-00090,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,20,left,-0.913,0,964,687,530,74,71,1920,506,83.56,headword,0.991,卷一上,3,0.692,approved
3D05F,ccz,C-00091,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,20,left,-0.913,0,964,530,513,57,100,1920,506,83.56,headword,0.998,卷一上,3,0.943,approved
3D060,ccz,C-00092,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,20,left,-0.913,0,964,434,509,73,105,1920,506,83.56,headword,0.999,卷一上,3,0.741,approved
3D061,ccz,C-00093,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,20,left,-0.913,0,964,267,627,72,95,1920,506,83.56,inline,0.962,卷一上,3,0.846,approved
3D065,ccz,C-00096,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,21,right,0.442,959,1920,782,623,66,103,1920,510,84.02,inline,1.0,卷一上,3,0.965,approved
3D000,ccz,C-00001,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,15,left,0.088,0,964,361,552,61,11,1920,508,84.96,headword,0.5,卷一上,1,0.995,approved
3D002,ccz,C-00003,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,15,left,0.088,0,964,192,519,53,95,1920,508,84.96,headword,0.996,卷一上,1,0.968,approved
3D003,ccz,C-00004,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,15,left,0.088,0,964,106,523,51,89,1920,508,84.96,headword,0.966,卷一上,1,0.985,approved
