action,edition,commons_title,page,side,x,y,w,h,codepoint,reason
assign,ccz,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,49,right,627,509,69,106,3D26B,review 2026-09-18T12:34:02: 審核：切片正確
assign,ccz,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,20,left,184,622,72,102,3D063,review 2026-09-18T21:17:54: 審核：切片正確
assign,ccz,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,22,left,445,670,72,104,3D07E,review 2026-09-18T21:17:55: 審核：切片正確
assign,ccz,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,23,left,875,517,71,98,3D08F,review 2026-09-18T21:17:56: 審核：切片正確
assign,ccz,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,49,right,701,508,70,108,3D26A,review 2026-09-18T21:18:30:
assign,ccz,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,49,right,530,508,73,108,3D26C,review 2026-09-18T21:18:38:
assign,ccz,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,49,right,368,514,64,95,3D26E,review 2026-09-18T21:18:51:
assign,ccz,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,57,left,415,621,73,119,3D316,review 2026-09-18T21:19:21: 審核：切片正確
assign,ccz,File:NLC892-312002098744-312890 說文解字 十五卷 第2冊.pdf,19,left,862,510,76,97,3D457,review 2026-09-18T21:20:23: 審核：切片正確
assign,ccz,File:NLC892-312002098744-312890 說文解字 十五卷 第2冊.pdf,15,left,691,513,77,103,3D40A,review 2026-09-18T21:21:02:
assign,ccz,File:NLC892-312002098744-312890 說文解字 十五卷 第2冊.pdf,19,left,862,510,76,97,3D457,review 2026-09-18T21:21:54: 審核：切片正確
assign,ccz,File:NLC892-312002098744-312890 說文解字 十五卷 第2冊.pdf,19,left,862,510,76,97,3D457,review 2026-09-18T21:22:09: 審核：切片正確
assign,ccz,File:NLC892-312002098744-312890 說文解字 十五卷 第2冊.pdf,42,left,531,508,67,108,3D626,review 2026-09-18T21:23:27: 審核：切片正確
assign,ccz,File:NLC892-312002098744-312890 說文解字 十五卷 第2冊.pdf,42,left,614,510,67,115,3D625,review 2026-09-18T21:23:30: 審核：切片正確
assign,ccz,File:NLC892-312002098744-312890 說文解字 十五卷 第2冊.pdf,42,left,778,508,70,108,3D623,review 2026-09-18T21:23:33: 審核：切片正確
assign,ccz,File:NLC892-312002098744-312890 說文解字 十五卷 第2冊.pdf,39,right,446,508,67,109,3D5E0,review 2026-09-18T21:23:39: 審核：切片正確
assign,ccz,File:NLC892-312002098744-312890 說文解字 十五卷 第2冊.pdf,42,left,778,508,70,108,3D623,review 2026-09-18T21:24:12: 審核：切片正確
assign,ccz,File:NLC892-312002098744-312890 說文解字 十五卷 第2冊.pdf,42,left,614,510,67,115,3D625,review 2026-09-18T21:24:12: 審核：切片正確
assign,ccz,File:NLC892-312002098744-312890 說文解字 十五卷 第2冊.pdf,42,left,531,508,67,108,3D626,review 2026-09-18T21:24:14: 審核：切片正確
not,ccz,File:NLC892-312002098744-312890 說文解字 十五卷 第2冊.pdf,47,left,208,1071,61,116,3D670,review 2026-09-18T21:24:43:
assign,ccz,File:NLC892-312002098744-312890 說文解字 十五卷 第2冊.pdf,47,right,522,502,69,109,3D65F,review 2026-09-18T21:25:02:
not,ccz,File:NLC892-312002098744-312890 說文解字 十五卷 第2冊.pdf,47,left,208,1071,61,116,3D670,review 2026-09-18T21:25:08:
assign,ccz,File:NLC892-312002098744-312890 說文解字 十五卷 第2冊.pdf,47,right,184,505,75,101,3D660,review 2026-09-18T21:25:53:
not,ccz,File:NLC892-312002098744-312890 說文解字 十五卷 第2冊.pdf,47,right,209,509,55,101,3D660,review 2026-09-18T21:26:29: 这个字不对
assign,ccz,File:NLC892-312002098744-312890 說文解字 十五卷 第2冊.pdf,60,left,460,511,70,99,3D76D,review 2026-09-18T21:28:14:
assign,ccz,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,24,left,185,516,84,106,3D0A9,review 2026-09-19T08:41:40:
assign,ccz,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,24,left,187,514,81,108,3D0A9,review 2026-09-19T08:42:29:
assign,ccz,File:NLC892-312002098744-312890 說文解字 十五卷 第2冊.pdf,47,right,356,504,70,105,3D660,review 2026-09-19T10:15:42:
not,ccz,File:NLC892-312002098744-312890 說文解字 十五卷 第2冊.pdf,48,right,599,493,58,119,3D670,review 2026-09-19T10:16:13:
not,ccz,File:NLC892-312002098744-312890 說文解字 十五卷 第2冊.pdf,48,right,599,493,58,119,3D670,review 2026-09-19T10:18:11:
assign,ccz,File:NLC892-312002098744-312890 說文解字 十五卷 第2冊.pdf,32,left,434,614,77,115,3D564,review 2026-09-19T10:18:36:
assign,ccz,File:NLC892-312002098744-312890 說文解字 十五卷 第2冊.pdf,56,left,358,512,73,101,3D71E,review 2026-09-19T10:20:01:
not,ccz,File:NLC892-312002098744-312889 說文解字 十五卷 第7冊.pdf,27,left,457,509,3,97,3F444,review 2026-09-19T10:37:01: 審核：不是這個字
assign,ccz,File:NLC892-312002098744-312891 說文解字 十五卷 第4冊.pdf,33,left,868,515,72,87,3E1DB,review 2026-09-19T10:37:07: 審核：切片正確
not,ccz,File:NLC892-312002098744-312891 說文解字 十五卷 第4冊.pdf,61,left,666,495,80,103,3E3C5,review 2026-09-19T10:37:08: 審核：不是這個字
not,ccz,File:NLC892-312002098744-312891 說文解字 十五卷 第4冊.pdf,3,left,139,480,79,105,3DFAA,review 2026-09-19T10:37:11: 審核：不是這個字
assign,ccz,File:NLC892-312002098744-312891 說文解字 十五卷 第4冊.pdf,62,left,364,490,68,120,3E3D4,review 2026-09-19T10:37:27: 審核：切片正確
not,ccz,File:NLC892-312002098744-312889 說文解字 十五卷 第7冊.pdf,48,right,419,519,2,60,3F5C0,review 2026-09-19T10:37:30: 審核：不是這個字
assign,ccz,File:NLC892-312002098744-312895 說文解字 十五卷 第8冊.pdf,36,left,611,520,73,104,3FBB5,review 2026-09-19T10:37:49: 審核：切片正確
not,ccz,File:NLC892-312002098744-312891 說文解字 十五卷 第4冊.pdf,36,left,391,487,81,98,3E218,review 2026-09-19T10:37:50: 審核：不是這個字
not,ccz,File:NLC892-312002098744-312891 說文解字 十五卷 第4冊.pdf,66,left,477,495,82,105,3E423,review 2026-09-19T10:38:08: 審核：不是這個字
not,ccz,File:NLC892-312002098744-312891 說文解字 十五卷 第4冊.pdf,44,right,194,530,69,75,3E2A5,review 2026-09-19T10:38:16: 審核：不是這個字
assign,ccz,File:NLC892-312002098744-312889 說文解字 十五卷 第7冊.pdf,80,left,765,522,68,106,3F820,review 2026-09-19T10:38:23: 審核：切片正確
assign,ccz,File:NLC892-312002098744-312891 說文解字 十五卷 第4冊.pdf,11,left,204,493,50,109,3E052,review 2026-09-19T10:39:03:
not,ccz,File:NLC892-312002098744-312889 說文解字 十五卷 第7冊.pdf,65,left,526,582,69,73,3F705,review 2026-09-19T10:39:29: 審核：不是這個字
assign,ccz,File:NLC892-312002098744-312891 說文解字 十五卷 第4冊.pdf,52,left,697,493,67,100,3E32B,review 2026-09-19T10:39:50:
not,ccz,File:NLC892-312002098744-312890 說文解字 十五卷 第2冊.pdf,69,left,774,493,3,94,3D7FA,review 2026-09-19T14:35:35: 審核：不是這個字
assign,ccz,File:NLC892-312002098744-312897 說文解字 十五卷 第6冊.pdf,10,left,590,674,73,106,3EC2D,review 2026-09-19T14:35:40: 審核：切片正確
assign,ccz,File:NLC892-312002098744-312896 說文解字 十五卷 第5冊.pdf,57,left,362,505,73,106,3EA39,review 2026-09-19T14:35:51:
assign,ccz,File:NLC892-312002098744-312889 說文解字 十五卷 第7冊.pdf,27,left,380,508,71,107,3F444,review 2026-09-19T14:36:07:
assign,ccz,File:NLC892-312002098744-312889 說文解字 十五卷 第7冊.pdf,54,left,716,525,70,106,3F61E,review 2026-09-19T14:38:19:
assign,ccz,File:NLC892-312002098744-312896 說文解字 十五卷 第5冊.pdf,33,right,537,529,72,106,3E88A,review 2026-09-20T08:16:20:
